INTERNAL_PART_#,SHORT_DESC,PROD_CELL_CODE,WORK_CENTER_CODE,DESCRIPTION
6023628300,TLAA RC CTRL LH,EL2-SMT,EL2C4,TLAA/KA/TL/CTRL/PWB/MONT/TOP-L
6023628300,TLAA RC CTRL LH,EL2-SMT,EL2C7,TLAA/KA/TL/CTRL/PWB/MONT/TOP-L
6023628300,TLAA RC CTRL LH,EL2-SMT,EL2C7,TLAA/KA/TL/CTRL/PWB/MONT/TOP-L
8865356400,TLAA RC CTRL RH,EL2-SMT,EL2C4,TLAA/KA/TL/CTRL/PWB/MONT/TOP-R
8865356400,TLAA RC CTRL RH,EL2-SMT,EL2C7,TLAA/KA/TL/CTRL/PWB/MONT/TOP-R
8865356400,TLAA RC CTRL RH,EL2-SMT,EL2C7,TLAA/KA/TL/CTRL/PWB/MONT/TOP-R
8865356400,TLAA RC CTRL RH,EL2-SMT,EL2C10,TLAA/KA/TL/CTRL/PWB/MONT/TOP-R
1507143500,TLAA LID KIT PWB LH,EL2-SMT,EL2C5,TLAA/KA/LID/PWB KIT/MONT/TOP-L
1519030200,TLAA LID KIT PWB RH,EL2-SMT,EL2C5,TLAA/KA/LID/PWB KIT/MONT/TOP-R
5907227703,THRA REAR PNL TOP,EL2-SMT,EL2C6,CPH0407A/P-SAY S-13759
0420724600,THRA HL LED2 SMT LH,EL2-SMT,EL2C9,THRA/KA/HL/LED 2/MONT/TOP-LH
1312998300,THRA HL LED2 SMT RH,EL2-SMT,EL2C9,THRA/KA/HL/LED 2/MONT/TOP-RH
1991373200,THRA HL LED1 SMT LH,EL2-SMT,EL2C9,THRA/KA/HL/LED 1/MONT/TOP-LH
3537852900,THRA HL LED1 SMT RH,EL2-SMT,EL2C9,THRA/KA/HL/LED 1/MONT/TOP-RH
2090808400,TZ3X/HL/FLEX-R,EL2-SMT,EL2C9,TZ3X/K+/HL/PWB S-ASSY1/INMOA-R
